Variável;0% - Mínimo;0% - Máximo;0% - Média;0% - Desvio Padrão;50% - Mínimo;50% - Máximo;50% - Média;50% - Desvio Padrão;100% - Mínimo;100% - Máximo;100% - Média;100% - Desvio Padrão;150% - Mínimo;150% - Máximo;150% - Média;150% - Desvio Padrão
Capacidade BESS Total (kWh);-;-;-;-;746.89;1131.89;922.94955;82.190795;1530.01;2258.49;1853.1639;161.732141;2191.51;3401.02;2788.13155;238.131314
Fator de Pico Horário (Irradiância);0.607;1;0.932069;0.087062;0.6282;1;0.941482;0.087034;0.601;1;0.941833;0.086809;0.6505;1;0.943529;0.079698
Fatores de Incerteza de Carga (agregado);0.8;1.2;1.000247;0.095965;0.8;1.2;0.999369;0.095942;0.8;1.2;0.999861;0.095786;0.8;1.2;0.999934;0.095945
Frequência: ceu_aberto;-;-;43.5%;-;-;-;52.5%;-;-;-;49.0%;-;-;-;53.5%;-
Frequência: nublado;-;-;14.0%;-;-;-;12.5%;-;-;-;10.5%;-;-;-;12.0%;-
Frequência: parcialmente_nublado;-;-;42.5%;-;-;-;35.0%;-;-;-;40.5%;-;-;-;34.5%;-
Número de Barras com Sobretensão;0;199;75.843125;63.681785;0;199;75.843125;63.681785;0;199;75.843125;63.681785;0;199;75.843125;63.681785
Número de Barras com Subtensão;10;16;11.535625;1.378398;10;16;11.535625;1.378398;10;16;11.535625;1.378398;10;16;11.535625;1.378398
Potência BESS Total (kW);-;-;-;-;309.56;309.59;309.57435;0.006211;619.13;619.16;619.1508;0.006809;928.71;928.74;928.7248;0.006925
Potência FV na Barra 840 (kW);-;-;-;-;129.07;224.28;177.70865;14.854096;269.38;459.4;352.9446;35.909353;414.87;659.76;526.3672;45.613527
Potência FV na Barra 844 (kW);-;-;-;-;130.31;223.74;175.9205;15.767146;258.58;454;355.3744;31.033748;428.25;642.84;531.70845;45.116665
Potência FV na Barra 848 (kW);-;-;-;-;130.09;216.4;176.296;14.89267;265.75;448.21;353.5985;34.9694;383.48;639.92;530.06445;46.994293
Potência FV na Barra 860 (kW);-;-;-;-;123.65;215.48;175.94485;14.634649;269.43;432.82;353.6035;29.105601;378.75;644.33;532.05935;42.100723
Potência FV na Barra 890 (kW);-;-;-;-;132.7;222.7;178.6297;14.583118;262.72;446.77;353.47885;31.326233;416.99;653.17;533.3005;46.326381